,오늘날짜,기사시점,기사제목,URL
0,2022-06-21_15시08분,1개월 전,"북한 '평양에 오미크론 발생'...코로나 2년만에 첫 감염자 인정, 왜 지금?",https://www.bbc.com/korean/news-61419559
1,2022-06-21_15시08분,1개월 전,"北, 국내 코로나 감염자 발생 사실 밝혀…확진 공식 인정한 첫 사례",https://www.dailynk.com/20220512-3/
2,2022-06-21_15시08분,1개월 전,"2년 넘게 '0명 감염' 주장한 북한, 코로나19 확진자 첫 공식 발표",https://www.hani.co.kr/arti/politics/defense/1042573.html
3,2022-06-21_15시08분,2022. 4. 6.,5월부터 국제선 하늘길 활짝…연말까지 코로나 이전의 50% 회복,https://m.korea.kr/news/policyNewsView.do?newsId=148900512
4,2022-06-21_15시08분,4일 전,"""격리 풀면 코로나19 재확산 앞당길수도""…7일 격리의무 4주 연장",https://m.dongascience.com/news.php?idx=54921
5,2022-06-21_15시08분,2022. 3. 25.,[Q&A] 소아 코로나19 예방접종 궁금해요! - 기초편,https://m.korea.kr/news/visualNewsView.do?newsId=148900179
6,2022-06-21_15시08분,1개월 전,북한 코로나: 하루 17만 확진·21명 사망…김정은 '건국 이래 대동란',https://www.bbc.com/korean/news-61447405
7,2022-06-21_15시08분,1개월 전,의협 “코로나19 종식 아니다…마스크 해제 시기상조” < 기관 ...,https://www.docdocdoc.co.kr/news/articleView.html?idxno=2022352
8,2022-06-21_15시08분,2022. 1. 28.,2월 3일부터 동네병원서 코로나 '검사부터 치료까지' 한 번에,https://www.korea.kr/special/policyFocusView.do?newsId=148898600&pkgId=49500742
9,2022-06-21_15시08분,1개월 전,윤 대통령 “'감염 폭증' 북한에 코로나 백신 지원하겠다”,https://www.hani.co.kr/arti/politics/politics_general/1042778.html
10,2022-06-21_15시08분,1개월 전,"“북한 코로나 사태, 백신보다는 항바이러스제·의료자원 공급이 ...",https://m.dongascience.com/news.php?idx=54263
11,2022-06-21_15시08분,2주 전,"'확진자 격리의무' 유지냐 해제냐…코로나 방역, 그것이 문제로다",https://www.hani.co.kr/arti/society/health/1045955.html
12,2022-06-21_15시08분,2주 전,코로나19 항공규제 풀린다...비행기표 저렴해질까?,https://www.bbc.com/korean/news-61548319
13,2022-06-21_15시08분,2022. 3. 18.,[Q&A] 만 5~11세 소아 코로나19 예방접종의 모든 것,https://www.korea.kr/special/policyFocusView.do?newsId=148899962&pkgId=49500742
14,2022-06-21_15시08분,4일 전,코로나19 신규 확진자 7198명 늘어,https://m.dongascience.com/news.php?idx=54922
15,2022-06-21_15시08분,2022. 2. 20.,엘리자베스 2세 여왕 코로나 확진... 영국 왕실 휩쓴 코로나,https://www.bbc.com/korean/international-60454915
16,2022-06-21_15시08분,2022. 4. 15.,"코로나19, 2급 감염병으로 하향…확진자 격리의무 단계적 해제",https://www.korea.kr/special/policyFocusView.do?newsId=148900807&pkgId=49500742
17,2022-06-21_15시08분,2022. 3. 24.,'2022년3월23일' 코로나로 가장 많은 사람 숨진 날…사망자 470 ...,https://m.dongascience.com/news.php?idx=53249
18,2022-06-21_15시08분,2022. 4. 6.,[팩트체크]옷에 묻은 코로나 바이러스에 감염될까,https://m.dongascience.com/news.php?idx=53503
19,2022-06-21_15시08분,2022. 4. 4.,중국 상하이 코로나 확산에 의료체계 '흔들'…전면봉쇄로 경제 ...,https://m.dongascience.com/news.php?idx=53457
20,2022-06-21_15시08분,2022. 4. 25.,25일부터 코로나19 감염병 1급→2급…영화관·경기장서 실내 ...,https://m.dongascience.com/news.php?idx=53815
21,2022-06-21_15시08분,2022. 4. 25.,"코로나19, 1급 감염병에서 2급으로 하향조정 < 보건복지 < 정책 ...",http://www.monews.co.kr/news/articleView.html?idxno=312008
22,2022-06-21_15시08분,2022. 4. 25.,"코로나19, 오늘부터 '2급 감염병'… 치료·격리 의무는 유지",https://m.health.chosun.com/svc/news_view.html?contid=2022042501007
23,2022-06-21_15시08분,3주 전,한 총리 “코로나 위기 다시 와도 일상 지킬 수 있게 철저히 준비”,https://www.korea.kr/special/policyFocusView.do?newsId=148902022&pkgId=49500742
24,2022-06-21_15시08분,1개월 전,"[북한 코로나 사태 진단] 3.황옌종 교수 “중국, 북한서 새 변이 유입 우려…북한, ‘제로 코로나’ 역량 부족”",https://www.voakorea.com/a/6579627.html
25,2022-06-21_15시08분,1개월 전,"코로나19 확진자, 확진일로부터 3개월 뒤에 3·4차 접종하세요",https://www.hani.co.kr/arti/society/health/1042627.html
26,2022-06-21_15시08분,2022. 4. 14.,코로나19: 다음주부터 모임·영업시간 제한 풀리나,https://www.bbc.com/korean/news-61089784
27,2022-06-21_15시08분,2022. 1. 19.,"코로나19: 홍콩, '사람에 델타 변이 전염' 의심 햄스터 2000마리 안락사 결정 논란",https://www.bbc.com/korean/international-60049138
28,2022-06-21_15시08분,2022. 4. 24.,"'일상회복' 본격화… 코로나19, '감염병 2급'으로 하향",https://www.bbc.com/korean/news-61206642
29,2022-06-21_15시08분,2022. 2. 25.,분만·소아·투석 등 코로나 특수응급 환자 대응체계 강화,https://m.korea.kr/news/policyNewsView.do?newsId=148899373
30,2022-06-21_15시08분,2022. 4. 1.,코로나19 사망자 화장·매장 모두 허용…“장례비 지원은 중단”,https://m.korea.kr/news/policyNewsView.do?newsId=148900413
31,2022-06-21_15시08분,1개월 전,코 찌르기 대신 침 뱉어서…'타액' 코로나19 자가검사키트 국내 ...,https://m.hani.co.kr/arti/society/health/1041000.html
32,2022-06-21_15시08분,1개월 전,북한 코로나 '심각한 상황 이미 지났다'?...뒤늦은 '대유행'에 엇갈린 분석,https://www.bbc.com/korean/news-61454930
33,2022-06-21_15시08분,2주 전,코로나 신규확진 5022명 139일 만에 최소,https://m.dongascience.com/news.php?idx=54731
34,2022-06-21_15시08분,1개월 전,“신종 코로나 사망자 1490만 명” - WHO,https://www.voakorea.com/a/6559425.html
35,2022-06-21_15시08분,1주 전,코로나 확진 9778명 사망자 2명 9개월 만에 '최저',https://m.dongascience.com/news.php?idx=54857
36,2022-06-21_15시08분,2022. 3. 16.,"코로나19 신규확진 40만명인데, '1급 감염병'에서 제외 논의...왜?",https://www.bbc.com/korean/news-60717988
